Supplier Name,Product Category,Country,Contact Details,Product Line
"LONGi Green Energy Technology Co., Ltd.",Solar Equipment,China,"No. 8369, Shangyuan Road, Economic & Technological Development Zone, Xi'an, Shaanxi, China. Tel: +86-29-81566666, Email: info@longi.com","High-efficiency monocrystalline solar wafers, cells, and modules (Hi-MO series)."
"Trina Solar Co., Ltd.",Solar Equipment,China,"No. 2 Tianhe Road, Trina PV Industrial Park, Xinbei District, Changzhou, Jiangsu, China. Tel: +86-519-85482008, Email: sales@trinasolar.com","Vertex series ultra-high power solar modules, smart trackers, and utility-scale energy storage systems."
"JA Solar Vietnam Co., Ltd.",Solar Equipment,Vietnam,"Quang Chau Industrial Zone, Viet Yen District, Bac Giang Province, Vietnam. Tel: +84-204-3661188, Email: info@jasolar.com.vn","Monocrystalline silicon cells, high-efficiency PERC modules, and TOPCon double-glass modules."
"Vina Solar Technology Co., Ltd.",Solar Equipment,Vietnam,"Lot CN-03, Van Trung Industrial Park, Viet Yen District, Bac Giang Province, Vietnam. Tel: +84-204-3661888, Email: sales@vinasolar.com",Solar cell manufacturing and OEM/ODM solar module assembly services.
"JinkoSolar Technology (Vietnam) Co., Ltd.",Solar Equipment,Vietnam,"Lot CN-01 to CN-05, Song Khoai Industrial Zone, Quang Yen Town, Quang Ninh Province, Vietnam. Tel: +84-203-3838388, Email: vn@jinkosolar.com","Silicon ingots, wafers, high-efficiency solar cells, and Tiger Neo N-type PV modules."
"Shenzhen Havit Technology Co., Ltd.",Consumer Electronics,China,"Room 1307, Phase II, Block B, Tsinghua Unis Science Park, No. 13 Langshan Road, Nanshan District, Shenzhen, Guangdong, China. Tel: +86-755-66862000, Email: sales@havit.hk","Smart wearables (smartwatches), Bluetooth TWS earbuds, gaming accessories, and mobile chargers."
"Shenzhen Baseus Technology Co., Ltd.",Consumer Electronics,China,"2nd Floor, Building B, Baseus Intelligence Park, No. 2008, Xuegang Road, Bantian, Longgang District, Shenzhen, China. Tel: +86-755-82432658, Email: service@baseus.com","GaN fast chargers, power banks, USB-C cables, smart IoT hubs, and automotive electronic accessories."
"Luxshare-ICT (Vietnam) Co., Ltd.",Consumer Electronics,Vietnam,"Lot E, Quang Chau Industrial Zone, Viet Yen District, Bac Giang Province, Vietnam. Tel: +84-204-3661999, Email: info@luxshare-ict.com","High-speed connectors, acoustic components (AirPods assembly), cables, and IoT smart home products."
"Goertek Technology Vietnam Co., Ltd.",Consumer Electronics,Vietnam,"Lot I-1, Que Vo Industrial Park (Expansion), Nam Son Commune, Bac Ninh City, Bac Ninh Province, Vietnam. Tel: +84-24-22239063, Email: info.vn@goertek.com","Acoustic components, micro-electromechanical systems (MEMS), smart wearables, and virtual reality (VR) headsets."
"Samsung Electronics Vietnam Co., Ltd.",Consumer Electronics,Vietnam,"Yen Phong 1 Industrial Park, Yen Trung Commune, Yen Phong District, Bac Ninh Province, Vietnam. Tel: +84-222-3696114, Email: sev.contact@samsung.com","High-end smartphones (Galaxy S and Z series), mid-range smartphones (Galaxy A series), and tablet computers."
